Metal_ID,Bird,BirdID,feather_collection_date,sex,weight,tarsus,scaled_mass,tail_length,back_preening,chest_preening,feet_preening,lower_neck_preening,tail_preening,wings_preening,head_preening,dustbathing,received_allopreening,gave_allopreening,total_preening,TSA,FMA,color_hue,uv_hue,chroma,luminance,color_hue_abs,notes
4,P04,99,8/27/21,f,3.72,200,3.31502592,na,643.83,525.5,1.94,363.93,737.83,1187.26,0,0,3.02,37.83,3463.3,257.5,93.5,2.379974137,-0.415566937,0.392852691,0.107921047,2.379974137,na
5,P05,5,8/24/21,f,2.835,170.5,3.476228185,na,545.68,483.84,0,373.8,381.47,890.68,0,0,0,0,2675.47,361,242,2.179688984,-0.597413025,0.18723479,0.083853231,2.362910322,na
8,P08,132,8/30/21,m,4.125,204,3.533194925,140.6,445.27,512.7,54.6,272.17,628.44,1560.34,0,0,11.87,19.26,3485.34,505.5,204,-2.800594711,0.636449181,0.737805226,0.038851445,2.800594711,na
9,P09,94,8/27/21,f,3.49,195,3.271599884,na,1192.51,1143.6,19.2,691.31,1471.82,2605.18,0,0,8.09,3.02,2668.65,61,24.5,1.868282389,-0.406547892,0.373528328,0.089118983,2.365254658,na
13,P13,80,8/27/21,f,3,176,3.452231405,na,321.43,385.6,0,555.22,588.41,557.53,0,0,0,0,2408.2,309,109,1.900103358,-0.621254303,0.253253935,0.075918205,1.908521753,na
14,P14,84,8/27/21,f,3.48,181,3.786396362,na,628.83,503.2,0,235.64,684.17,1216.85,1.62,0,2.55,21.02,3272.9,232.5,88,1.407302534,-0.636945179,0.199362008,0.132877004,1.993102838,na
15,P15,15,8/27/21,f,3.025,184,3.184884688,na,319.6,263.24,1.9,278.69,366.45,760.35,0,6.53,0,9.16,1996.76,414,211.5,1.085242196,-0.662936042,0.20398884,0.059629277,1.615581391,na
20,P20,150,8/24/21,f,3.64,178.5,4.072198341,na,557.98,314.2,0,275.21,343.04,1033.87,0,0,11.4,39.01,2535.65,427,249.5,0.111125738,-0.218212374,0.171869788,0.045348799,2.448739633,na
21,P21,90,8/27/21,f,3.35,183,3.565714832,na,565.04,499,0,303.98,581.09,1056.34,0,0,5.05,3.02,3010.52,292.5,176.5,1.493425181,-0.416566328,0.321885461,0.085945977,2.559773471,na
24,P24,24,8/24/21,f,3.105,183.5,3.286952645,na,294.81,367.7,12.5,162.6,284.39,731,0,0,0,0,1853,344.5,118,1.921452929,-0.325944916,0.532519577,0.078735865,2.73328519,na
