Date,Treatment,Percent,Minutes,Plate_dilution,CFU_plate,Germ_Total,Germ_Seeds,Germ_Perc,CFU_200seeds
7/6/22,H2O2,0,1,2,119,200,114,57,11900
7/6/22,H2O2,0,5,2,115,200,110,55,11500
7/6/22,H2O2,0,10,2,47,200,98,49,4700
7/6/22,H2O2,0,15,6,11,200,119,59.5,11000000
7/6/22,H2O2,3,1,2,118,200,76,38,11800
7/6/22,H2O2,3,5,4,2,200,148,74,20000
7/6/22,H2O2,3,10,2,101,200,170,85,10100
7/6/22,H2O2,3,15,2,66,200,182,91,6600
7/6/22,H2O2,6,1,2,268,200,99,49.5,26800
7/6/22,H2O2,6,5,2,18,200,120,60,1800
7/6/22,H2O2,6,10,2,8,200,153,76.5,800
7/6/22,H2O2,6,15,2,21,200,123,61.5,2100
7/6/22,H2O2,12,1,2,28,200,120,60,2800
7/6/22,H2O2,12,5,2,14,200,127,63.5,1400
7/6/22,H2O2,12,10,2,5,200,127,63.5,500
7/6/22,H2O2,12,15,2,2,200,142,71,200
7/6/22,H2O2,30,1,2,8,200,145,72.5,800
7/6/22,H2O2,30,5,2,4,200,133,66.5,400
7/6/22,H2O2,30,10,2,0,200,126,63,0
7/6/22,H2O2,30,15,2,2,200,91,45.5,200
7/13/22,Bleach,0,1,4,145,200,139,69.5,1450000
7/13/22,Bleach,0,5,4,38,200,124,62,380000
7/13/22,Bleach,0,10,4,80,200,132,66,800000
7/13/22,Bleach,0,15,6,12,200,130,65,12000000
7/13/22,Bleach,1,1,2,392,200,146,73,39200
7/13/22,Bleach,1,5,2,197,200,158,79,19700
7/13/22,Bleach,1,10,2,303,200,140,70,30300
7/13/22,Bleach,1,15,2,447,200,154,77,44700
7/13/22,Bleach,2,1,2,269,200,137,68.5,26900
7/13/22,Bleach,2,5,2,98,200,167,83.5,9800
7/13/22,Bleach,2,10,2,84,200,144,72,8400
7/13/22,Bleach,2,15,2,264,200,135,67.5,26400
7/13/22,Bleach,5,1,2,44,200,122,61,4400
7/13/22,Bleach,5,5,2,32,200,124,62,3200
