Experiment,Start_Date,Treatment,Perc,Time_Min,dilution,TSA_CFU_plate,MEA_CFU_plate,Germ_Total,Germ_Seeds,Germ_Perc,CFU_200seeds_bact,CFU_200seeds_fungi
1,8/31/22,Control,0,5,6,22,12,200,197,98.5,22000000,1200
1,8/31/22,Control,0,5,6,9,2,200,195,97.5,9000000,200
1,8/31/22,Control,0,5,6,11,3,200,197,98.5,11000000,300
1,8/31/22,Control,0,5,6,127,7,200,195,97.5,127000000,700
1,8/31/22,Control,0,5,6,366,10,200,199,99.5,366000000,1000
1,8/31/22,Sonic,0,5,4,3,1,200,191,95.5,30000,100
1,8/31/22,Sonic,0,5,6,5,0,200,194,97,5000000,0
1,8/31/22,Sonic,0,5,6,4,0,200,187,93.5,4000000,0
1,8/31/22,Sonic,0,5,6,102,2,200,194,97,102000000,200
1,8/31/22,Sonic,0,5,6,25,1,200,197,98.5,25000000,100
1,8/31/22,55 C,0,5,6,18,0,200,197,98.5,18000000,0
1,8/31/22,55 C,0,5,6,3,0,200,194,97,3000000,0
1,8/31/22,55 C,0,5,6,301,0,200,195,97.5,301000000,0
1,8/31/22,55 C,0,5,6,7,0,200,198,99,7000000,0
1,8/31/22,55 C,0,5,6,7,0,200,197,98.5,7000000,0
1,8/31/22,Bleach,10,5,2,1,0,200,196,98,100,0
1,8/31/22,Bleach,10,5,2,0,0,200,198,99,0,0
1,8/31/22,Bleach,10,5,2,1,0,200,200,100,100,0
1,8/31/22,Bleach,10,5,2,2,0,200,198,99,0,0
1,8/31/22,Bleach,10,5,6,42,0,200,199,99.5,42000000,0
1,8/31/22,HCA,100,5,2,1,0,200,199,99.5,100,0
1,8/31/22,HCA,100,5,6,33,5,200,200,100,33000000,500
1,8/31/22,HCA,100,5,6,82,0,200,198,99,82000000,0
1,8/31/22,HCA,100,5,6,3,0,200,194,97,3000000,0
1,8/31/22,HCA,100,5,4,6,0,200,195,97.5,60000,0
1,8/31/22,Vinegar,3,5,4,20,0,200,197,98.5,200000,0
1,8/31/22,Vinegar,3,5,4,35,0,200,197,98.5,350000,0
1,8/31/22,Vinegar,3,5,4,122,0,200,199,99.5,1220000,0
1,8/31/22,Vinegar,3,5,6,6,0,200,199,99.5,6000000,0
