seed,Area_mm2,Length_mm,Width_mm,Circularity,FeretDistance,species
1,24.339,5.811,5.333,0.889,5.991,adzuki
2,24.943,6.177,5.142,0.866,6.53,adzuki
3,24.791,6.237,5.061,0.888,6.444,adzuki
4,25.911,6.388,5.164,0.885,6.517,adzuki
5,19.741,5.45,4.612,0.819,5.702,adzuki
6,22.346,5.806,4.9,0.881,6.13,adzuki
7,29.331,7.217,5.175,0.852,7.206,adzuki
8,28.029,6.388,5.587,0.893,6.623,adzuki
9,30.881,6.932,5.672,0.857,7.15,adzuki
10,24.085,6.062,5.059,0.88,6.105,adzuki
11,25.555,6.481,5.02,0.876,6.55,adzuki
12,22.258,5.806,4.881,0.877,6.032,adzuki
13,27.221,6.087,5.694,0.908,6.34,adzuki
14,25.998,6.402,5.17,0.877,6.555,adzuki
15,24.66,6.079,5.165,0.717,7.082,adzuki
16,18.256,5.294,4.391,0.889,5.371,adzuki
17,21.589,5.78,4.755,0.879,6.043,adzuki
18,28.116,6.413,5.582,0.906,6.563,adzuki
19,22.382,6.427,4.434,0.869,6.352,adzuki
20,28.96,6.532,5.645,0.887,6.613,adzuki
21,25.977,6.539,5.058,0.883,6.674,adzuki
22,25.882,6.026,5.469,0.881,6.436,adzuki
23,25.547,6.421,5.066,0.877,6.529,adzuki
24,26.02,6.511,5.088,0.858,6.663,adzuki
25,20.257,5.629,4.582,0.857,5.716,adzuki
26,22.215,5.588,5.061,0.883,5.793,adzuki
27,24.434,5.987,5.196,0.611,6.876,adzuki
28,26.995,6.492,5.294,0.899,6.639,adzuki
29,23.364,5.778,5.148,0.891,6.051,adzuki
30,25.998,6.427,5.151,0.887,6.488,adzuki
31,25.293,6.188,5.204,0.903,6.34,adzuki
32,26.639,6.451,5.258,0.863,6.73,adzuki
33,20.381,5.678,4.57,0.883,5.876,adzuki
34,25.489,6.442,5.038,0.89,6.51,adzuki
35,25.475,6.07,5.343,0.889,6.434,adzuki
36,24.194,6.658,4.627,0.843,6.705,adzuki
37,25.904,6.433,5.127,0.877,6.474,adzuki
38,22.448,6.138,4.656,0.875,6.248,adzuki
39,24.427,5.96,5.218,0.878,6.171,adzuki
40,21.007,5.818,4.597,0.864,5.947,adzuki
41,25.205,6.033,5.32,0.869,6.575,adzuki
42,19.894,5.329,4.753,0.905,5.433,adzuki
43,28.349,6.825,5.289,0.849,6.944,adzuki
44,32.86,7.432,5.63,0.873,7.527,adzuki
45,26.944,6.443,5.324,0.872,6.625,adzuki
46,25.998,6.318,5.239,0.862,6.625,adzuki
47,28.502,6.254,5.802,0.866,6.434,adzuki
48,27.396,6.486,5.378,0.877,6.794,adzuki
49,26.886,6.46,5.299,0.889,6.662,adzuki
50,26.035,6.454,5.136,0.883,6.679,adzuki
51,24.456,6.143,5.069,0.891,6.159,adzuki
52,26.071,6.51,5.099,0.871,6.719,adzuki
53,26.413,6.707,5.015,0.789,6.968,adzuki
54,27.788,6.635,5.333,0.884,6.719,adzuki
55,22.469,5.592,5.116,0.907,5.801,adzuki
56,26.399,6.504,5.168,0.716,6.585,adzuki
57,26.013,6.134,5.399,0.89,6.311,adzuki
58,22.113,5.656,4.978,0.878,6.163,adzuki
59,24.456,6.5,4.79,0.85,6.704,adzuki
60,30.961,6.756,5.835,0.88,6.995,adzuki
61,20.468,5.793,4.499,0.882,5.959,adzuki
62,20.097,5.621,4.552,0.88,5.756,adzuki
63,28.123,6.34,5.648,0.899,6.674,adzuki
64,28.698,6.61,5.528,0.857,6.869,adzuki
65,21.538,5.871,4.671,0.874,6.04,adzuki
66,31.63,7.165,5.62,0.874,7.271,adzuki
67,23.947,5.892,5.175,0.878,6.089,adzuki
68,25.213,6.253,5.134,0.896,6.311,adzuki
69,29.957,6.659,5.728,0.895,6.959,adzuki
70,22.775,5.626,5.154,0.88,5.991,adzuki
71,27.847,6.503,5.452,0.88,6.609,adzuki
72,28.145,6.737,5.319,0.876,6.848,adzuki
73,26.566,6.368,5.312,0.878,6.444,adzuki
74,26.981,6.688,5.136,0.878,6.835,adzuki
75,24.943,6.489,4.894,0.792,6.88,adzuki
76,30.175,6.486,5.924,0.883,6.799,adzuki
77,29.302,6.71,5.56,0.881,6.859,adzuki
78,24.238,6.133,5.032,0.869,6.409,adzuki
79,25.635,6.385,5.112,0.865,6.709,adzuki
80,22.222,5.786,4.89,0.884,6.089,adzuki
81,19.406,5.104,4.841,0.867,5.633,adzuki
82,24.609,6.145,5.099,0.879,6.297,adzuki
83,21.713,5.939,4.655,0.878,5.947,adzuki
84,25.846,6.428,5.12,0.87,6.652,adzuki
85,26.028,6.664,4.973,0.872,6.674,adzuki
86,20.861,5.521,4.811,0.894,5.751,adzuki
87,24.39,6.033,5.148,0.873,6.375,adzuki
88,23.255,6.107,4.849,0.851,6.357,adzuki
89,25.504,6.066,5.353,0.826,6.411,adzuki
90,24.267,5.909,5.229,0.84,6.201,adzuki
91,31.47,6.852,5.848,0.836,7.301,adzuki
92,19.661,5.315,4.71,0.832,5.535,adzuki
93,22.513,5.802,4.94,0.874,6.116,adzuki
94,24.288,6.237,4.959,0.879,6.463,adzuki
95,25.504,6.14,5.289,0.87,6.496,adzuki
96,23.685,5.88,5.129,0.869,6.128,adzuki
97,26.981,6.593,5.21,0.543,8.716,adzuki
98,24.318,6.046,5.121,0.888,6.422,adzuki
99,28.632,6.919,5.269,0.831,7.313,adzuki
1,2.692,2.216,1.547,0.851,2.261,alfalfa
2,2.125,2.129,1.271,0.855,2.178,alfalfa
3,2.211,2.105,1.338,0.856,2.16,alfalfa
4,2.649,2.374,1.421,0.824,2.44,alfalfa
5,2.664,2.54,1.335,0.793,2.632,alfalfa
6,3.037,2.616,1.478,0.794,2.661,alfalfa
7,2.183,1.923,1.445,0.911,2,alfalfa
8,3.181,2.627,1.542,0.821,2.68,alfalfa
9,2.764,2.496,1.41,0.803,2.587,alfalfa
10,2.42,2.248,1.371,0.866,2.331,alfalfa
11,2.7,2.493,1.379,0.845,2.549,alfalfa
12,2.448,2.328,1.339,0.786,2.423,alfalfa
13,1.924,1.736,1.411,0.839,1.921,alfalfa
14,2.484,2.254,1.403,0.848,2.327,alfalfa
15,2.491,2.419,1.311,0.753,2.47,alfalfa
16,2.412,2.252,1.364,0.866,2.354,alfalfa
17,2.377,2.271,1.332,0.831,2.388,alfalfa
18,2.527,2.386,1.349,0.817,2.426,alfalfa
19,2.046,2.136,1.22,0.86,2.16,alfalfa
20,2.901,2.648,1.395,0.739,2.733,alfalfa
21,2.262,2.277,1.264,0.823,2.305,alfalfa
22,2.542,2.28,1.419,0.816,2.313,alfalfa
23,2.692,2.129,1.61,0.919,2.203,alfalfa
24,2.692,2.545,1.347,0.795,2.592,alfalfa
25,1.924,2.003,1.223,0.839,2.093,alfalfa
26,3.396,2.668,1.621,0.813,2.713,alfalfa
27,2.534,2.148,1.503,0.859,2.224,alfalfa
28,2.477,2.266,1.392,0.851,2.392,alfalfa
29,2.578,2.244,1.463,0.846,2.282,alfalfa
30,2.276,2.329,1.244,0.777,2.386,alfalfa
31,2.506,2.381,1.34,0.83,2.409,alfalfa
32,2.793,2.541,1.399,0.783,2.528,alfalfa
33,2.764,2.329,1.511,0.834,2.363,alfalfa
34,3.023,2.317,1.661,0.847,2.423,alfalfa
35,2.463,2.255,1.391,0.861,2.314,alfalfa
36,1.996,2.152,1.181,0.803,2.172,alfalfa
37,2.341,2.058,1.448,0.919,2.096,alfalfa
38,3.238,2.656,1.552,0.802,2.75,alfalfa
39,2.606,2.157,1.538,0.884,2.237,alfalfa
40,2.19,2.114,1.319,0.875,2.17,alfalfa
41,2.412,2.325,1.321,0.824,2.398,alfalfa
42,3.396,2.698,1.603,0.824,2.767,alfalfa
43,2.664,2.42,1.402,0.803,2.467,alfalfa
44,2.427,2.291,1.349,0.823,2.398,alfalfa
45,2.154,2.012,1.363,0.883,2.093,alfalfa
46,2.427,2.301,1.343,0.784,2.36,alfalfa
47,2.19,2.157,1.293,0.824,2.261,alfalfa
48,2.657,2.196,1.54,0.858,2.305,alfalfa
49,2.384,2.199,1.38,0.847,2.282,alfalfa
50,2.592,2.318,1.424,0.845,2.392,alfalfa
51,2.089,2.127,1.251,0.835,2.21,alfalfa
52,2.549,2.333,1.391,0.829,2.412,alfalfa
53,2.427,2.168,1.425,0.877,2.239,alfalfa
54,2.85,2.344,1.548,0.849,2.446,alfalfa
55,2.477,2.262,1.395,0.84,2.313,alfalfa
56,3.152,2.68,1.498,0.785,2.675,alfalfa
57,2.649,2.444,1.38,0.77,2.467,alfalfa
58,2.764,2.493,1.412,0.816,2.599,alfalfa
59,2.642,2.472,1.361,0.787,2.502,alfalfa
60,2.57,2.415,1.355,0.8,2.446,alfalfa
61,2.24,2.372,1.203,0.772,2.423,alfalfa
62,2.707,2.462,1.4,0.811,2.594,alfalfa
63,2.29,2.013,1.449,0.922,2.063,alfalfa
64,2.85,2.588,1.402,0.76,2.659,alfalfa
65,2.204,2.103,1.334,0.859,2.165,alfalfa
66,2.599,2.049,1.615,0.853,2.224,alfalfa
67,2.8,2.326,1.533,0.871,2.412,alfalfa
68,1.881,1.827,1.311,0.899,1.936,alfalfa
69,2.865,2.434,1.499,0.84,2.542,alfalfa
70,2.362,2.247,1.339,0.834,2.327,alfalfa
71,2.427,2.38,1.298,0.815,2.41,alfalfa
72,2.355,2.182,1.374,0.817,2.305,alfalfa
73,2.14,2.199,1.239,0.834,2.289,alfalfa
74,2.183,2.129,1.305,0.842,2.16,alfalfa
75,1.939,1.955,1.262,0.884,1.994,alfalfa
76,2.807,2.526,1.415,0.816,2.592,alfalfa
77,2.398,2.347,1.301,0.787,2.412,alfalfa
78,3.482,2.863,1.548,0.794,2.828,alfalfa
79,2.52,2.178,1.473,0.904,2.274,alfalfa
80,3.209,2.557,1.598,0.822,2.649,alfalfa
81,2.298,2.23,1.312,0.83,2.313,alfalfa
