Species,Rep,TubeType,StartHeight_mm,Num_seeds,FinalHeight_mm,CalcstartVolume,CalcFinalVolume,Seedvolume,VolumeperSeed_mm3
Peas,1,GT,65,100,118,14972.69,28145.42,13172.73,131.73
Peas,2,GT,64.8,100,118,14922.99,28145.42,13222.43,132.22
Peas,3,GT,65.7,100,118,15146.67,28145.42,12998.75,129.99
Whitewheat,1,GT,70.9,99,85.7,16439.09,20117.51,3678.42,37.16
Whitewheat,2,GT,62.7,100,78.2,14401.05,18253.45,3852.4,38.52
Whitewheat,3,GT,50.9,100,66.5,11468.25,15345.51,3877.26,38.77
Mung,1,GT,56,99,79.5,12735.82,18576.55,5840.74,59
Mung,2,GT,56.5,101,79,12860.09,18452.28,5592.2,55.37
Mung,3,GT,49.1,101,71.9,11020.88,16687.63,5666.76,56.11
Lentil,1,GT,56.5,100,66.9,12860.09,15444.92,2584.84,25.85
Lentil,2,GT,48.1,100,59.4,10772.33,13580.86,2808.52,28.09
Lentil,3,GT,50.3,100,61.5,11319.13,14102.8,2783.67,27.84
Adzuki,1,GT,54.5,99,89.5,12363,21061.97,8698.97,87.87
Adzuki,2,GT,67.5,100,100.5,15594.05,23795.94,8201.89,82.02
Adzuki,3,GT,58.4,100,92,13332.32,21683.33,8351.01,83.51
Millet,1,MCT,21,100,31.6,884.65,1420.43,535.78,5.36
Millet,2,MCT,21,100,34,884.65,1541.74,657.09,6.57
Millet,3,MCT,21,100,32.2,884.65,1450.76,566.11,5.66
Millet,4,MCT,22.6,100,32.3,965.53,1455.82,490.29,4.9
Buckwheat,1,GT,58.4,101,68.3,13332.32,15792.88,2460.57,24.36
Buckwheat,2,GT,55.4,101,64.7,12586.69,14898.13,2311.44,22.89
Buckwheat,3,GT,63.8,100,73.6,14674.44,17110.16,2435.71,24.36
Onion,1,MCT,24.1,99,30.3,1041.34,1354.73,313.38,3.17
Onion,2,MCT,19.8,100,25.9,824,1132.33,308.33,3.08
Onion,3,MCT,23.6,99,30.4,1016.07,1359.78,343.71,3.47
Alfalfa,1,MCT,23.3,101,25.8,1000.91,1127.27,126.36,1.25
Alfalfa,2,MCT,25.5,100,26.2,1112.11,1147.49,35.38,0.35
Alfalfa,3,MCT,22.4,100,26.6,955.42,1167.71,212.29,2.12
Clover,1,MCT,22,100,25,935.2,1086.83,151.64,1.52
Clover,2,MCT,25,100,28.6,1086.83,1268.8,181.96,1.82
Clover,3,MCT,21.7,100,25.1,920.03,1091.89,171.85,1.72
Broccoli,1,MCT,27,86,35,1187.93,1592.29,404.36,4.7
Broccoli,2,MCT,22,100,28.2,935.2,1248.58,313.38,3.13
Broccoli,3,MCT,22,100,28.6,935.2,1268.8,333.6,3.34
Redwheat,1,GT,38,100,48.5,8262.06,10871.75,2609.69,26.1
Redwheat,2,GT,48,100,58.8,10747.48,13431.73,2684.25,26.84
Redwheat,3,GT,43,100,53.9,9504.77,12213.88,2709.11,27.09
Radish,1,GT,47.7,101,51.7,10672.92,11667.09,994.17,9.84
Radish,2,GT,50.1,100,56.5,11269.42,12860.09,1590.67,15.91
Radish,3,GT,55.8,100,60.1,12686.11,13754.84,1068.73,10.69
Barley,1,GT,55.5,101,67.1,12611.55,15494.63,2883.09,28.55
Barley,2,GT,47.9,100,59.1,10722.63,13506.3,2783.67,27.84
Barley,3,GT,41.9,100,54,9231.37,12238.73,3007.36,30.07
Garbanzo,1,GT,90,25,131.6,21186.24,31525.59,10339.35,413.57
Garbanzo,2,GT,91.4,25,129,21534.2,30879.38,9345.18,373.81
Garbanzo,3,GT,87,25,123.6,20440.62,29537.26,9096.64,363.87
Garbanzo,4,GT,90.5,25,130.5,21310.52,31252.2,9941.68,397.67
