Agent,Sonication,Rep,Total_seeds,Seeds_with_Fungi_day3,Germination_day7,FungalGrowth_day3_percent,Germination_day7_percent
HCA,Agitated,1,62,39,55,62.9,88.7
HCA,Agitated,2,60,31,50,51.7,83.3
HCA,Agitated,3,62,32,53,51.6,85.5
sdH2O,Agitated,1,63,63,47,100,74.6
sdH2O,Agitated,2,58,58,48,100,82.8
sdH2O,Agitated,3,60,58,49,96.7,81.7
Bleach,Agitated,1,42,1,32,2.4,76.2
Bleach,Agitated,2,54,18,42,33.3,77.8
Bleach,Agitated,3,58,16,47,27.6,81
Ethanol 70%,Agitated,1,50,0,44,0,88
Ethanol 70%,Agitated,2,51,0,40,0,78.4
Ethanol 70%,Agitated,3,55,0,43,0,78.2
GAA 5%,Agitated,1,60,0,42,0,70
GAA 5%,Agitated,2,59,1,45,1.7,76.3
GAA 5%,Agitated,3,62,0,43,0,69.4
Hydrogen Peroxide 3%,Agitated,1,57,53,52,93,91.2
Hydrogen Peroxide 3%,Agitated,2,67,65,48,97,71.6
Hydrogen Peroxide 3%,Agitated,3,60,59,47,98.3,78.3
Boiling,Agitated,1,52,0,32,0,61.5
Boiling,Agitated,2,50,0,25,0,50
Boiling,Agitated,3,64,0,38,0,59.4
55C 5min,Agitated,1,52,42,50,80.8,96.2
55C 5min,Agitated,2,61,49,53,80.3,86.9
55C 5min,Agitated,3,68,54,40,79.4,58.8
55C 10min,Agitated,1,48,21,37,43.8,77.1
55C 10min,Agitated,2,52,25,41,48.1,78.8
55C 10min,Agitated,3,57,12,26,21.1,45.6
55C 30min,Agitated,1,48,30,32,62.5,66.7
55C 30min,Agitated,2,52,20,32,38.5,61.5
55C 30min,Agitated,3,57,14,23,24.6,40.4
70C 5min,Agitated,1,61,0,5,0,8.2
70C 5min,Agitated,2,45,0,2,0,4.4
70C 5min,Agitated,3,62,2,7,3.2,11.3
70C 10min,Agitated,1,58,0,4,0,6.9
70C 10min,Agitated,2,50,0,5,0,10
70C 10min,Agitated,3,60,2,5,3.3,8.3
70C 30min,Agitated,1,52,0,4,0,7.7
70C 30min,Agitated,2,58,0,3,0,5.2
70C 30min,Agitated,3,64,0,2,0,3.1
HCA,Sonicated,1,51,38,51,74.5,100
HCA,Sonicated,2,58,39,55,67.2,94.8
HCA,Sonicated,3,65,34,58,52.3,89.2
sdH2O,Sonicated,1,65,48,51,73.8,78.5
sdH2O,Sonicated,2,62,40,41,64.5,66.1
sdH2O,Sonicated,3,64,57,39,89.1,60.9
Bleach,Sonicated,1,60,14,56,23.3,93.3
Bleach,Sonicated,2,65,13,47,20,72.3
Bleach,Sonicated,3,67,3,33,4.5,49.3
Ethanol 70%,Sonicated,1,60,0,53,0,88.3
Ethanol 70%,Sonicated,2,55,0,52,0,94.5
Ethanol 70%,Sonicated,3,58,1,50,1.7,86.2
GAA 5%,Sonicated,1,58,1,14,1.7,24.1
GAA 5%,Sonicated,2,59,0,47,0,79.7
GAA 5%,Sonicated,3,50,0,10,0,20
Hydrogen Peroxide 3%,Sonicated,1,64,58,48,90.6,75
Hydrogen Peroxide 3%,Sonicated,2,60,49,46,81.7,76.7
Hydrogen Peroxide 3%,Sonicated,3,56,42,34,75,60.7
55C 5min,Sonicated,1,60,12,52,20,86.7
55C 5min,Sonicated,2,62,15,56,24.2,90.3
55C 5min,Sonicated,3,62,4,47,6.5,75.8
55C 10min,Sonicated,1,57,20,53,35.1,93
55C 10min,Sonicated,2,67,26,57,38.8,85.1
55C 10min,Sonicated,3,50,48,35,96,70
55C 30min,Sonicated,1,58,1,44,1.7,75.9
55C 30min,Sonicated,2,56,8,40,14.3,71.4
55C 30min,Sonicated,3,59,17,29,28.8,49.2
70C 5min,Sonicated,1,63,6,13,9.5,20.6
70C 5min,Sonicated,2,60,0,2,0,3.3
70C 5min,Sonicated,3,55,0,0,0,0
70C 10min,Sonicated,1,70,1,0,1.4,0
70C 10min,Sonicated,2,59,6,5,10.2,8.5
70C 10min,Sonicated,3,50,0,0,0,0
70C 30min,Sonicated,1,55,0,0,0,0
70C 30min,Sonicated,2,54,0,0,0,0
70C 30min,Sonicated,3,51,0,0,0,0
